Category,City,Country/Region,Customer Name,Order Date,Order ID,Postal Code,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Year Label,Days to Ship,Discount,Profit,Quantity,Sales
Furniture,Henderson,United States,Claire Gute,11/8/2021,CA-2021-152156,42420,South,Consumer,11/11/2021,Second Class,Kentucky,Bookcases,2021,3,0,41.9136,2,261.96
Furniture,Henderson,United States,Claire Gute,11/8/2021,CA-2021-152156,42420,South,Consumer,11/11/2021,Second Class,Kentucky,Chairs,2021,3,0,219.582,3,731.94
Office Supplies,Los Angeles,United States,Darrin Van Huff,6/12/2021,CA-2021-138688,90036,West,Corporate,6/16/2021,Second Class,California,Labels,2021,4,0,6.8714,2,14.62
Furniture,Fort Lauderdale,United States,Sean O'Donnell,10/11/2020,US-2020-108966,33311,South,Consumer,10/18/2020,Standard Class,Florida,Tables,2020,7,0.45,-383.031,5,957.5775
Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,10/11/2020,US-2020-108966,33311,South,Consumer,10/18/2020,Standard Class,Florida,Storage,2020,7,0.2,2.5164,2,22.368
Furniture,Los Angeles,United States,Brosina Hoffman,6/9/2019,CA-2019-115812,90032,West,Consumer,6/14/2019,Standard Class,California,Furnishings,2019,5,0,14.1694,7,48.86
Office Supplies,Los Angeles,United States,Brosina Hoffman,6/9/2019,CA-2019-115812,90032,West,Consumer,6/14/2019,Standard Class,California,Art,2019,5,0,1.9656,4,7.28
Technology,Los Angeles,United States,Brosina Hoffman,6/9/2019,CA-2019-115812,90032,West,Consumer,6/14/2019,Standard Class,California,Phones,2019,5,0.2,90.7152,6,907.152
Office Supplies,Los Angeles,United States,Brosina Hoffman,6/9/2019,CA-2019-115812,90032,West,Consumer,6/14/2019,Standard Class,California,Binders,2019,5,0.2,5.7825,3,18.504
Office Supplies,Los Angeles,United States,Brosina Hoffman,6/9/2019,CA-2019-115812,90032,West,Consumer,6/14/2019,Standard Class,California,Appliances,2019,5,0,34.47,5,114.9
Furniture,Los Angeles,United States,Brosina Hoffman,6/9/2019,CA-2019-115812,90032,West,Consumer,6/14/2019,Standard Class,California,Tables,2019,5,0.2,85.3092,9,1706.184
Technology,Los Angeles,United States,Brosina Hoffman,6/9/2019,CA-2019-115812,90032,West,Consumer,6/14/2019,Standard Class,California,Phones,2019,5,0.2,68.3568,4,911.424
Office Supplies,Concord,United States,Andrew Allen,4/15/2022,CA-2022-114412,28027,South,Consumer,4/20/2022,Standard Class,North Carolina,Paper,2022,5,0.2,5.4432,3,15.552
Office Supplies,Seattle,United States,Irene Maddox,12/5/2021,CA-2021-161389,98103,West,Consumer,12/10/2021,Standard Class,Washington,Binders,2021,5,0.2,132.5922,3,407.976
Office Supplies,Fort Worth,United States,Harold Pawlan,11/22/2020,US-2020-118983,76106,Central,Home Office,11/26/2020,Standard Class,Texas,Appliances,2020,4,0.8,-123.858,5,68.81
Office Supplies,Fort Worth,United States,Harold Pawlan,11/22/2020,US-2020-118983,76106,Central,Home Office,11/26/2020,Standard Class,Texas,Binders,2020,4,0.8,-3.816,3,2.544
Office Supplies,Madison,United States,Pete Kriz,11/11/2019,CA-2019-105893,53711,Central,Consumer,11/18/2019,Standard Class,Wisconsin,Storage,2019,7,0,13.3176,6,665.88
Office Supplies,West Jordan,United States,Alejandro Grove,5/13/2019,CA-2019-167164,84084,West,Consumer,5/15/2019,Second Class,Utah,Storage,2019,2,0,9.99,2,55.5
Office Supplies,San Francisco,United States,Zuschuss Donatelli,8/27/2019,CA-2019-143336,94109,West,Consumer,9/1/2019,Second Class,California,Art,2019,5,0,2.4824,2,8.56
Technology,San Francisco,United States,Zuschuss Donatelli,8/27/2019,CA-2019-143336,94109,West,Consumer,9/1/2019,Second Class,California,Phones,2019,5,0.2,16.011,3,213.48
Office Supplies,San Francisco,United States,Zuschuss Donatelli,8/27/2019,CA-2019-143336,94109,West,Consumer,9/1/2019,Second Class,California,Binders,2019,5,0.2,7.384,4,22.72
Office Supplies,Fremont,United States,Ken Black,12/9/2021,CA-2021-137330,68025,Central,Corporate,12/13/2021,Standard Class,Nebraska,Art,2021,4,0,5.0596,7,19.46
Office Supplies,Fremont,United States,Ken Black,12/9/2021,CA-2021-137330,68025,Central,Corporate,12/13/2021,Standard Class,Nebraska,Appliances,2021,4,0,15.6884,7,60.34
Furniture,Philadelphia,United States,Sandra Flanagan,7/16/2022,US-2022-156909,19140,East,Consumer,7/18/2022,Second Class,Pennsylvania,Chairs,2022,2,0.3,-1.0196,2,71.372
Furniture,Orem,United States,Emily Burns,9/25/2020,CA-2020-106320,84057,West,Consumer,9/30/2020,Standard Class,Utah,Tables,2020,5,0,240.2649,3,1044.63
